path,change,scope
README.md,modified,M3 V4 status and 21-action description
action_contract.py,modified,A54-A55 forbidden identity rule
overall_run/README.md,modified,M3 status and legacy boundary
overall_run/config/m3_response_v4_atomic_subitem.yaml,modified,A51-A53 and action count 21
overall_run/src/m3/contracts.py,modified,21-action order and forbidden IDs
overall_run/src/m3.py,moved,removed same-name legacy module
overall_run/src/legacy/__init__.py,added,legacy namespace
overall_run/src/legacy/m3_v3_audit.py,added,explicit V2/V3 audit-only implementation
overall_run/src/pipeline.py,modified,staged M3 runtime gates
overall_run/tests/m3/test_artifacts_and_evaluation.py,modified,21-action artifact size
overall_run/tests/m3/test_boundary.py,modified,active import and legacy isolation
overall_run/tests/m3/test_compatibility_and_gates.py,modified,pipeline and M4 boundary tests
overall_run/tests/m3/test_contracts.py,modified,A51-A53 catalog and parameter status
overall_run/tests/m3/test_footprints.py,modified,aircraft footprints
overall_run/tests/test_m2_m4_contract.py,modified,active V4 rejection plus legacy skips
overall_run/tests/test_m3_v3_expanded.py,modified,explicit legacy import
overall_run/audit_m3_v3_parameters.py,modified,explicit legacy import
overall_run/tests/test_m3_v3_ranking_contract.py,modified,explicit legacy import
reports/code_audit_fault_probe.py,modified,explicit legacy import
reports/m3_v2/,modified,contract completion reports
