path,change_type,semantic_scope,verification
overall_run/config/scientific.yaml,modified,"explicit directions, currency mapping, correction gate, and unfrozen M2 parameters",compile_and_tests
overall_run/src/m1/__init__.py,modified,"export probability-bound contract",compile_and_m1_tests
overall_run/src/m1/contracts.py,modified,"add resolved/unresolved probability-bound contract",compile_and_m1_tests
overall_run/src/m1/distribution/derived.py,modified,"exclude unresolved samples from false-event interpretation and emit bounds",m1_tests
overall_run/src/m2/__init__.py,modified,"export context builder, formal PRE adapter, and joint evaluation",compile_and_m2_tests
overall_run/src/m2/contracts.py,modified,"event/context/parameter/summary/tail contracts",compile_and_m2_tests
overall_run/src/m2/context_builder.py,added,"PRE Core V2 to M2ContextBundle with provenance and risk direction",pre_to_m2_tests
overall_run/src/m2/dependencies.py,added,"central dependencies for nine subitems including R_SCARCITY OR",dependency_tests
overall_run/src/m2/activation.py,modified,"event/context/evidence/rule/value/tail activation gates",dependency_tests
overall_run/src/m2/events.py,modified,"explicit event values, statuses, semantics, and sources",missing_value_and_tail_tests
overall_run/src/m2/input_adapter.py,modified,"formal context alignment, per-subitem activation, status, and abstain gates",integration_tests
overall_run/src/m2/rules.py,modified,"finite-input rules and explicit bounded multiplier configuration",rule_and_direction_tests
overall_run/src/m2/modifiers.py,modified,"remove multiplier bound defaults",rule_tests
overall_run/src/m2/quantities.py,modified,"remove zero fallbacks and enforce active-input contract",missing_value_and_dependency_tests
overall_run/src/m2/subitem_values.py,modified,"reject missing, invalid, and non-finite v_gj",parameter_tests
overall_run/src/m2/constructed_units.py,reviewed_no_semantic_edit,"retain subitem and channel CU aggregation",integration_tests
overall_run/src/m2/corrections.py,modified,"hard rho_g and epsilon correction bound interface",correction_tests
overall_run/src/m2/currency.py,modified,"require explicit F/P/R rates and provide subitem RMB mapping",currency_tests
overall_run/src/m2/reconstruction.py,modified,"separate formal and resolved-only sample loss",integration_and_tail_tests
overall_run/src/m2/summaries.py,modified,"rename means, compute shares, and gate formal q95/CVaR",summary_and_tail_tests
overall_run/src/m2/evaluation.py,modified,"joint-tail frequencies, residual correlation, and calibration availability",joint_evaluation_tests
overall_run/tests/m1/conftest.py,modified,"extend published PRE synthetic bundle with provenance-bearing context fields",m1_and_m2_tests
overall_run/tests/m1/test_horizon_probabilities.py,modified,"test probability bounds and unresolved mass",m1_tests
overall_run/tests/m2/conftest.py,modified,"build aligned PRE synthetic context path and unresolved sample fixture",m2_tests
overall_run/tests/m2/test_m2_rules_and_units.py,modified,"currency, multiplier, correction, and CU tests",m2_tests
overall_run/tests/m2/test_m2_v2_integration.py,modified,"formal PRE wiring, tail gate, shares, joint evaluation, and M3 mismatch",m2_tests
overall_run/tests/m2/test_m2_semantic_gates.py,added,"nine-subitem dependency matrix, missing values, direction, proxy, and freeze tests",m2_tests
overall_run/tests/test_m2_m4_contract.py,modified,"restore pytest import for intended module-level contract skip",expected_skip
reports/m1_m2_v2_fix/M1_M2_V2_SEMANTIC_FIX_REPORT.md,added,"semantic implementation and final statuses",report_audit
reports/m1_m2_v2_fix/M1_M2_V2_SEMANTIC_FIX_TEST_REPORT.md,added,"executed tests and baseline blocker",report_audit
reports/m1_m2_v2_fix/M1_M2_V2_CONTEXT_WIRING_REPORT.md,added,"PRE field mapping, provenance, direction, and formality",report_audit
reports/m1_m2_v2_fix/M1_M2_V2_REMAINING_PARAMETER_REPORT.md,added,"unfrozen rules, multipliers, and values",report_audit
reports/m1_m2_v2_fix/M1_M2_V2_RERUN_DECISION.md,added,"rerun and migration decisions",report_audit
reports/m1_m2_v2_fix/M1_M2_V2_FIX_FILE_CHANGE_SUMMARY.csv,added,"file-level change inventory",report_audit
